主分類,子分類,標題,時間,內文
東吳資科相關,其他東吳資科,東吳資科 電腦請益,2022/7/10 下午 5:02:24,"最近在煩惱該買哪台電腦
想請問資科的學長姐有人買Mac嗎？
有的話會比較推薦買air還是pro呢？
會不會沒有辦法下載一些上課會用到的軟體？
或者是遇到上傳作業卻因為系統不同而很麻煩的狀況？
謝謝～"
東吳資科相關,其他東吳資科,Re: 東吳資管or東吳資科,2023/6/5 上午 11:04:41,"糾結了好多天還是決定不出來！就想上來請大家幫幫我、給我一點建議～

我目前這兩個系都是正取
兩個系都有各自的優點，而且依照我個人興趣的部分，兩個系也是差不多的，所以才糾結那麼久…

對我自己來說～（我未來是希望可以繼續升學的！）
【資訊管理學系】
1. 相對於資科系比較傳統，感覺畢業後可以有比較穩定的發展（成績好的話，出去之後希望有機會可以去大企業當專案管理或是當系統分析師，感覺薪水會高但也不會到超級高；成績不好的話，感覺就是去到普通的公司寫程式，薪水也就普普通通）
2. 在城中校區上課，比較近XD（但距離不是問題啦）
3. 還有東吳資管實習的機會應該也算多
4. 還有個很不重要的點就是，因為我在聽了資科系的說明會之前其實目標是資管，所以就是…有種想去的感覺…？

【資料科學系】
1. 感覺大數據是個未來的趨勢！
2. 但聽說資科現在在台灣的發展還沒有到很成熟（成績很好的話應該可以去大企業當數據分析師，就會很高薪；但如果成績不好可能甚至找不到工作！？）
3. 很看重數學，微積分跟數據分析，雖然很多人都說是靠邏輯，但我高中數學成績真的不太好，還是有點怕怕的！
4. 在雙溪校區說真的比較遠（但如果真的去讀了我是可以克服距離的問題）
5. 最吸引我的是…！這個系到後面有「跨領域實驗室」，就是可以實務應用，學學企業的know how ？據說這是很棒的技能，因為別人都是進到公司才開始學習，而我們在大學就能學到了

目前我對兩個系都是真的想去，但如果我一定要選一個是50%50%，如果還有想到其他對我來說的的優點我再來編輯補充好了！
希望學長姐、同屆們可以給我一點建議！6/8就要選出來了，真的沒時間再糾結😖🙏🏻"
東吳資科相關,其他東吳資科,研究所選擇請益（北醫數據/東吳資科/高大應數）,2023/12/2 下午 1:32:22,"目前有幸正取北醫數據所及東吳資料科學所，而高大應數（數據科學組）等待備取中，未來方向會想做資料探勘、機器學習為主。
目前自己評估：
1.北醫 大數據科技管理研究所
 課程較入門，醫學課程方面也沒有涉入較多，但是這幾間校名較好聽一點，未來感覺會偏向數據管理為主。
2.高雄大學 應用數學系（數據科學組）
 因為位於數學系下，課程較偏向理論，且教授研究方向多以數學相關，能做數據科學的偏少。
3.東吳大學 資料科學碩士班
 主打資料科學，所以課程就較以人工智慧、機器學習為主軸，也有跨域實驗室，但師資流動率高，校名來講也不吃香。
目前有額外準備考試，但還是想保留一間學校，想請問版上各位大大會較推薦哪間研究所，祝各位都早日上岸🎃"
東吳資科相關,其他東吳資科,東吳資科大一先修,2024/6/13 下午 10:10:03,"如標題！請問東吳資科的學長姐暑期的先修課有需要先修嗎
暑假要開始打工排班 會撞到線上課程 所以在考慮要不要上
麻煩各位學長姐給點建議，謝謝！"
東吳資科相關,其他東吳資科,東吳資科系 數學很重要嗎,2024/8/14 上午 2:17:31,"想問各位學長姐 我自己本身數學能力沒有很好，看到課程規劃有微積分跟統計的部分，但都只有在一、二年級，想問到大四微積分跟統計的應用會很多嗎？
如果數學能力沒有這麼好會影響嗎？"
東吳資科相關,其他東吳資科,東吳資管/資科 面試,2024/3/30 下午 2:27:11,"前幾天放榜一階過了，想請問各位學長姐們東吳資管/資科的面試大概是怎麼樣子的？
還有兩個科系如果真的都順利上了應該要選哪個對未來出路比較有利？
因為完全沒有不知道要怎麼準備所以現在真的很焦慮😭"
東吳資科相關,其他東吳資科,東吳水師再現,2026/6/8 下午 2:51:00,東吳水師要復活了嗎
東吳資科相關,其他東吳資科,彰師大/東吳企管選哪一個？,2026/6/22 下午 9:55:58,"我住台北，東吳對我來說也算近！
但我真的會有學校迷思 因為個人認為公立私立聽起來有差。
想請問兩間的師資如何 或有什麼建議能給我呢？
-
我未來是想走行銷為主 之後應該會讀行銷研究所或國外相關科系留學！"
東吳資科相關,其他東吳資科,東吳資科/巨量資料管理 課表請益,2021/5/6 上午 8:00:06,"請問各位巨資學長姐，小弟在東吳課表系統查詢貴系的課表發現有幾天的第12節沒有課程，請問意思是說那天三四節再來上學也可以嗎？另外節次上的英文字母A E等是什麼意思？
（抱歉因為小弟實在是不太懂課表系統上所寫所以發此文詢問）"
東吳資科相關,其他東吳資科,輔大統資/東吳資科,2024/5/30 下午 2:25:32,"不知道大家會怎麼選擇
兩者的教學內容看起來差不多
輔大較為注重數學方面，交通也比較方便，我個人也蠻有興趣的。
東吳較為注重大數據方面，交通較不方便在外雙溪，課程內容比較吸引我。

我一直很猶豫到底應該去哪裡，請大家給我一點建議謝謝。"
東吳資科相關,其他東吳資科,東吳大學 英文系,2026/6/29 下午 9:16:20,"這是他給我的回信他說我沒有參與課堂
這學期只請了四次生理假的情況下如果沒有參與
我是去躲在廁所嗎還是什麼 很荒謬欸
他的期中期末不是紙筆都是上台報告三分鐘上傳TronClass 我都有照做上台報告上傳還有寫作業
他的Weekly是包含作業跟參與 怎麼看我都不應該只拿40x50% 還有都有上台報告的情況下怎麼會是50
現在教授都可以隨意亂給分數是嗎？給我壓線60我都還能接受"
東吳資科相關,其他東吳資科,#東吳資管請益,2024/3/20 上午 10:17:24,今天是改志願最後一天了，原本填的是東吳財精，但覺得自己的數學程度沒辦法負荷，想要改成東吳資管，因為平常也沒接觸什麼程式，想問問學長姐推薦這個系嗎～～
