id,post_url,publish_date,image_count,caption,image_urls,local_images
1,https://www.instagram.com/p/DdF9-c9x20a/,2026-09-10 12:23:20,1,"東吳最近，好像要發生一件事……
一個全新的學習空間，
正在準備登場。
但它到底有什麼不一樣？
先不告訴你 🤫
只能偷偷透露：
✨ 虛實融合
✨ AR / VR
✨ 沉浸式學習
✨ 還有一點「未來感」
📅115/ 9 /16 答案即將揭曉！
到底會是什麼樣的教室？
資科編先賣個關子，敬請期待👋
#東吳大學
#巨量資料管理學院
#資料科學系
#虛實融合學習教室",https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.82787-15/802458075_17980306143084121_2780324826539974218_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzk4Mjg2MjAxODAyNTA1NzU2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=ew8CSTnLz74Q7kNvwFo5D-Q&_nc_oc=Ado_mZJv1IEVdYEAijRDxnz_PCpqJSLRNLYksc-N4tmt-RhzURdCNNBlsUDqPDmd1Xc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-3.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQKKwUKjwinmuS2OjTGdA5kUqdew_KfMzSKaidhn3uPPkA&oe=6AAE719B,東吳資科_IG圖片/001_DdF9-c9x20a_1.jpg
2,https://www.instagram.com/p/DcNeiZCGL2t/,2026-08-19 13:50:42,1,"🎉 東吳資科 115 學年度「學士班＋碩士班」雙滿招！
#東吳大學資料科學系 115 學年度學士班 & 碩士班 招生全數額滿啦！ 🥳
真的超級感謝每一位選擇東吳資科的同學和家長！
這不只是一項滿招紀錄，更是大家對我們用心辦學與未來職涯人才培育的最大肯定！
恭喜所有透過繁星、申請入學、分科測驗順利上岸的大一新鮮人，以及錄取報到的碩士班同學，你們真的太優秀了！
115 學年度的全體資科新鮮人，我們九月開學見囉！✨
#東吳大學 #巨資學院 #資料科學系 #東吳第一哩",https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.82787-15/777982166_17977035582084121_4142932556435693643_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzk2Njk2MTE1MTUxOTUzODYwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=jp6ALeZd0l8Q7kNvwEHv3T5&_nc_oc=AdqJvd26TV41TuQmk9J--qJP9jwB1T5o_p30FGZ-iO2fuP1-TwlhDQVOelVIUCFySLc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-4.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQKljgAmX6XRAChuhTs7uy2aPFgeZIIHHdI7Ziza6P9CCg&oe=6AAE6D6D,東吳資科_IG圖片/002_DcNeiZCGL2t_1.jpg
3,https://www.instagram.com/p/DJEvPR7S413/,2025-04-30 22:26:59,5,"📢東吳大學攜手輝達 引進NVIDIA GeForce RTX 50系列 打造「智慧創新AI學習中心」
📰資料來源：中央社
2025/4/30
🔗https://www.cna.com.tw/postwrite/chi/400455

AI霸主黃仁勳在美國消費性電子展(CES)，發布全新GeForce RTX 50系列顯示卡，突破性的技術規格為遊戲玩家及專業用戶提供卓越的遊戲效能與AI運算能力。於此同時東吳大學也宣布建立「智慧創新AI學習中心」，將引進GeForce RTX 50系列桌上型電腦，發展AI虛擬人及VR元宇宙的特色教學主題。結合東吳具備的人文社會、語言與法商特色，在未來課程中，攜手輝達培育擁有AI應用能力、跨領域整合能力及多媒體設計能力的專業人才，進而打造「東吳AI智慧校園」的特色亮點。
東吳校長詹乾隆表示，AI的出現不但開啟產業革命，更帶來高等教育的革新，未來教育的關鍵在於如何將AI技術與人文思維相結合，東吳大學將透過校內巨量資料管理學院的專業資源，以及GeForce RTX 50系列桌上型電腦，在AI硬體及軟體領域的領先技術，開設相關的AI課程，同時引進產學合作機會，在「全人教育」的核心理念下，發展跨越資訊科學、法學、管理、人文的跨領域學習模式，讓AI不僅運用在提升效率，更能引領人類走向有價值的未來。
未來「智慧創新AI學習中心」將成為東吳大學推動AI技術應用的核心基地，並在巨資學院的主導下與相關協力廠商，包括愛迪斯科技、欣亞數位和微星科技等公司，展開AI虛擬人及元宇宙技術、跨領域專業應用、產學合作、智慧校園等四大面向運用，並針對AI基礎、創意與設計、行銷與媒體、產學合作專題四大領域。開設超過10門特色課程，包含機器學習入門、雲端應用設計、資料視覺化與分析、AI虛擬人開發、生成式影音創作、多媒體設計與互動技術等多元課程，提供學生選修，培養學生具備AI應用能力、跨領域整合能力以及多媒體設計的專業技能，為未來在AI相關領域的發展鋪路。
#東吳大學 #巨資學院 #資料科學系 #東吳大學攜手輝達 #智慧創新AI學習中心 #GeForceRTX50系列
#AI","https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.82787-15/657269761_18083628938367056_5765767171686428678_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=MzYyMjIyNzc0Mjk3MDAzNTg2NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQzNi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ggRmQsPKN70Q7kNvwF7QgkI&_nc_oc=AdqEby08WJc-NhqFguuwB2a6waxs5KRtlaqHptKY4VXEqLhISOxm2ckQbhD5Y9CQaiA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-3.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQLXOGqN4i2BGOqJwKo-Mnz6CIrxeCpUYKoK88L0NWpAEQ&oe=6AAE995A
https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.82787-15/649138207_17914696176322896_1766047355953160365_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=MzYyMjIyNzc0MzI2MzY3NzAyOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQzNi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=15kIaEfLd4cQ7kNvwFa0k2y&_nc_oc=AdpJSoDjfCoEPxzZKddjWHISQG1-9PdTkZ8PedjAeivZx2rl8myHlO8wcnHytf--yWo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-4.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQJn8_qPiHvHMuQXGgSoHiWd96znu_CkIEPOoZOWdHVHkQ&oe=6AAE9C0A
https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.82787-15/669671586_18093909874886796_7253962700341063514_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=MzYyMjIyNzc0Mjk3ODM2ODMzNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQzNi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=P8VpvYCygoUQ7kNvwFmVWU6&_nc_oc=AdqFmJmnj93LAMK1lh9pUxx6j1mgvftguo5227I2jAezZzXpqtzkHiTGxTiPiZxZAj4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-1.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQKL9wc9IRDZejsuQCZdLlTVd88OOB6oeDKmquWMqegQJw&oe=6AAE8324
https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.82787-15/655587152_18115744696640347_86295054803483128_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=MzYyMjIyNzc0Mjk2OTkxMjk2OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQzNi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=wQyPY7ZnIgwQ7kNvwGQV4Ou&_nc_oc=Adp5EMxXAVPcjZJt0vkyOXflKgIKqaOTrFAl2ZTCkN3LZc6NY-F93PFVn3Ijmh_CSy0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-1.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQITei_cNag2-5rroPglsEKDng4c__A4DSLIYZkDWQ29eA&oe=6AAE6EFD
https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.82787-15/661706367_18405646567180995_1062560230055917886_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=MzYyMjIyNzc0Mjk2OTg0MjA3NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQzMy5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=1yie-BCu-pUQ7kNvwET9r8a&_nc_oc=Ador_X5Gvrwe_Fxrp9US0b01-_ZYz_w_-2fFwbuTwAxtYPHwkaRUKEwN0g0QTRroDlc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-4.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQKNIxWXGVAXLSzwLY8C87Ai4PjgryCkAlYMYg20Es873Q&oe=6AAE8D1D","東吳資科_IG圖片/003_DJEvPR7S413_1.jpg
東吳資科_IG圖片/003_DJEvPR7S413_2.jpg
東吳資科_IG圖片/003_DJEvPR7S413_3.jpg
東吳資科_IG圖片/003_DJEvPR7S413_4.jpg
東吳資科_IG圖片/003_DJEvPR7S413_5.jpg"
4,https://www.instagram.com/p/DdNhxYYGAhZ/,2026-09-13 10:50:21,4,"資科編報導💬東吳資科系與日本企業實習交流｜認識日本職場與產業發展

115年9月11日上午，東吳大學資料科學系邀請兩家日本企業蒞校，與系上老師、學士班、碩士班、碩士在職專班學生們進行交流。

🏢 株式会社コミューナ（Communa Inc.）
企業系統開發、雲端服務、AI及DX等資訊服務

🏢 データコム株式会社（Datacom Inc.）
零售數據分析、BI、AI分析等大數據服務

活動中，企業代表分享日本企業的實際業務、人才需求與職涯發展等內容，讓同學進一步認識日本資訊產業，也了解海外工作與職涯發展的可能性。

🌏 從課堂走向產業，從台灣看見海外職涯。
對海外工作有興趣的資科系同學來說，這也是一次認識日本企業與職場環境的交流機會。

#東吳大學 #巨資學院 #資料科學系 #海外實習 #企業交流 #大數據 #資料科學 #職涯發展","https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.82787-15/790398172_17980737258084121_1876331722487177832_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzk4NDk4OTc2NDk2OTgyNDQ1NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTI4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ZcxyhiNNNJ0Q7kNvwFyc8hZ&_nc_oc=AdpgUqA3Ipx3EftnIvj8w_q5PsY845GqIUgkuHgY6oVz4f3TlosDSYXx-z0CYjRhtl4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-4.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQJJKSJ3wyoAif7CrueVkliLT2iSV2z_jqeK7c2J45hSFw&oe=6AAE9B69
https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.82787-15/806280656_17980737240084121_2617500157435898262_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzk4NDk4OTc2NDY4NDY0NTcyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTI4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=TVDjPs3Tp5sQ7kNvwF3cuFZ&_nc_oc=AdrWmAk-3eYCr0N57QWmsqtUir90XbbMx-FKQK03SNPFajJk4YOAb9kSzViD66b2_-w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-1.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQK95qm7z8pm6-q7mOzuy8K66RcfHGenWhsF2BQnuegbFg&oe=6AAE7665
https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.82787-15/806786015_17980737255084121_3882098751465223390_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk4NDk4OTc2NDY3NjI0MTk3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTI4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=-tlai6n3jHMQ7kNvwEP2c-n&_nc_oc=AdqwiSX2m6aK7Z33br9JdTG9MwvZ3elfKtpGjM16v0KdqFCW2izFjuHM7ASKwUrRY1s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-2.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQIQBgA5ied3zyoq75I75O0MVuXdoJG2HcTzJNsFnknFQQ&oe=6AAE74CB
https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.82787-15/806280662_17980737237084121_7039443672835436948_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk4NDk4OTc2NDgwMjA4NjI4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTI4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=PMaa6cp6qf4Q7kNvwGmSzP_&_nc_oc=AdoqvlKDtcICrrrLO_jKkNQA8SFfmbz27zSYp3cBQd7eEvOQiQDSzX8aOTngbkitU5M&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-2.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQLuYYfsTb3ANvYyDfElXjpCO1CxPvUKQRt8HlaqHxIAIA&oe=6AAE8953","東吳資科_IG圖片/004_DdNhxYYGAhZ_1.jpg
東吳資科_IG圖片/004_DdNhxYYGAhZ_2.jpg
東吳資科_IG圖片/004_DdNhxYYGAhZ_3.jpg
東吳資科_IG圖片/004_DdNhxYYGAhZ_4.jpg"
5,https://www.instagram.com/p/Dc9r8qWhCdY/,2026-09-07 07:11:28,1,"祝賀本系碩士班 陳冠霖 同學，在全國頂尖學術競賽中脫穎而出，以極具前瞻性與實務價值的研究，榮獲 特優論文獎（High Distinction Thesis Award）！

有「管理學界奧斯卡」美譽的「崇越論文大賞」，由台灣管理學會於 2008 年創辦，是國內最具權威的碩博士論文競賽之一，核心旨在將學術研究精準對接產業實務需求。

本次獲獎不僅肯定了冠霖同學紮實的研究功力，也展現了本系在「AI 應用」與「智慧金融」領域落實產學接軌的卓著成效！

🏆獲獎資訊

主辦單位：社團法人台灣管理學會
獎項名稱：2026年 第 19 屆崇越論文大賞－特優論文獎
論文題目：《從「人機對決」到「人機協作」：主動型基金管理的洞見》
指導教授：鄭宏文 老師
獲獎學生：陳冠霖 同學

全體師生一同恭喜陳冠霖同學與鄭宏文老師！特別感謝鄭老師的悉心指導，全體師生以此為榮！
#東吳大學 #巨資學院 #資料科學系 #崇越論文大賞",https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.82787-15/799201778_17979886293084121_2460597825645308434_n.webp?_nc_cat=106&ig_cache_key=Mzk4MDUzMDkzMDMwODg4NDMxMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=gKZJJUxziAAQ7kNvwExKIYD&_nc_oc=AdpL5O3luaxBL_RJQ4GkCULA7nG8j42YBbAP98Tw0z3wj1JGMcYkMRxUg3oN6QXSYMc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-3.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQJQIXfDXUqYNQaZxxYIGLumtfW0_F1ih8MhvOnDEgS7-g&oe=6AAE96F6,東吳資科_IG圖片/005_Dc9r8qWhCdY_1.jpg
6,https://www.instagram.com/p/Dc75PRiRflr/,2026-09-06 14:29:21,1,"🔥 周光宇老師2026 培養 AI 宏觀意識 -迎向 AI 新時代的戰略前瞻工作坊隆重開課！

今天系上特別邀請到新加坡 KYC Global Pte. Ltd. 執行長周光宇老師 帶來精彩的工作坊第一堂課！首場活動即吸引了將近 50 位碩士班、碩專班同學與優秀校友熱情參與，現場學習氣氛超級熱絡！👏

周老師結合實務與前瞻觀點的生動講解，帶領大家踏出課程的第一步。課堂上不僅收穫滿滿的實戰知識，更搭起跨屆學長姐與學弟妹的交流橋樑，擦出精彩的思維火花！

116學年度碩士班與碩士在職專班招生資訊，歡迎私訊小編索取更多報名資訊。

#東吳大學 #巨資學院 #資料科學系",https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.82787-15/798688217_17979772074084121_6469655272395245029_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzk4MDAyNjQzMzk4Mzg3MTMzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=YN7NrF8YRXgQ7kNvwG_OjOx&_nc_oc=AdrapKSqGV5CpBukLMaPyDbjT8WfTz6JT2LHBpPdtHY8xMSgZenjs6I6j9Yx06IRklg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-3.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQIZa_nP8GvRQv_XhAcAGGVRE6XUXT7C1W1zTS1nL1ohyw&oe=6AAE7D48,東吳資科_IG圖片/006_Dc75PRiRflr_1.jpg
7,https://www.instagram.com/p/DcxDWGZmGjW/,2026-09-02 09:25:45,1,"【東吳大學 × 美國 ASU 雷鳥管理學院】將近 20 年的跨國情誼，開啟 AI 與雙聯學位新篇章！🚀
跟大家分享一個超讚的好消息！美國亞利桑那州立大學（ASU）最近正式上線了「ASU and Taiwan」官方網站，紀錄 ASU 與台灣在科技、教育與人才培育上的深厚連結。
值得驕傲的是，Thunderbird 在最新文章中，特別回顧了東吳大學與 Thunderbird 雙方從 2007 年至今、跨越近二十年的深厚情誼！文中不僅特別提及今年東吳大學#巨量資料管理學院與 Thunderbird 攜手推動的「碩士雙聯學位」，更記錄了雙方近期在 AI 應用、創新課程設計與前沿科技上的精采交流。
這代表雙方的新合作，已正式被納入 ASU 對台合作的核心藍圖中！隨著 ASU 與 Thunderbird 在半導體、AI 與全球人才發展上的積極佈局，我們也非常期待未來雙方能從雙聯學位出發，延伸出更多教學、研究與國際交流的發展。
邀請大家一起點擊下方連結，共同見證這個美好的新起點！✨

🔗 閱讀完整文章：https://taiwan.asu.edu/insights/what-nearly-two-decades-partnership-have-taught-me-about-taiwan

#東吳大學 #巨資學院 #資料科學系 #碩士雙聯學位 #Thunderbird",https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.82787-15/792881944_17979163923084121_1717565589724873855_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_cat=106&ig_cache_key=Mzk3Njk3NDY1ODc4NDc0OTc4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTgwMC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=bcg0ayCoaXMQ7kNvwEjZ20b&_nc_oc=AdppVfNiFn5ih91zNg_sAfJUDv9gXG5moIQk_c3iPiJGvB-jV1PTzaE9niglZ0hPSz8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-3.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQLsZ8K0o3vcKLVFrzwCeJ5t3IwD8sXZALIH0ESWWQ4IWg&oe=6AAE7D49,東吳資科_IG圖片/007_DcxDWGZmGjW_1.jpg
8,https://www.instagram.com/p/Dck9n_fxt67/,2026-08-28 16:50:30,1,"主管又上電視了!我們家巨量資料管理學院金凱儀院長登上 TVBS 新聞專題採訪啦！
當企業面試開始加入「AI 實戰測驗」、重複性更高的行政文書工作被快速自動化時，新鮮人與職場工作者該如何應對？
🔥 採訪重點大公開：
✨ 定義問題的能力｜AI 給得出答案，但只有你能問出「對的問題」。
✨ 高附加價值移動｜擺脫標準化流程，把時間留給獨立思考與策略規劃。
✨ 人機協作與溝通｜AI 是強大助手，溝通力與跨域協作才是硬實力！
AI 不是來消滅工作，而是逼我們升級！想知道更多專業洞察與職場建議？

🎬 完整採訪影片請看：https://www.youtube.com/watch?v=p4JduuszRCI

#東吳大學 #巨資學院 #資料科學系 #TVBS專訪 #職場趨勢 #AI應用 #生成式AI #職場競爭力",https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.82787-15/787770134_17978354007084121_1917225949067759034_n.jpg?stp=dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_cat=100&ig_cache_key=Mzk3MzU3MTgwMDMyMzI1MTg5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjM4NDAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=x8Fa-57ZpZwQ7kNvwHUEJXk&_nc_oc=AdokyqBhabD3p8JBjIWbibeh9L7wVQCLnjAsUxpSelqxRtZ3sidXJiTCRljEUQdncYg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-2.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQIR6HYeZFFW_AjU8xgXPR-V0D3t3Cnzie2Rp9XWVVVDgQ&oe=6AAE8FCA,東吳資科_IG圖片/008_Dck9n_fxt67_1.jpg
9,https://www.instagram.com/p/DcfvNtYmPP6/,2026-08-26 16:02:45,1,"🇯🇵 日本企業蒞校交流活動｜歡迎資科系同學踴躍參加！
想了解日本企業的工作環境、人才需求，以及未來赴日就業的可能性嗎？
東吳大學資科系將於 9月11日（五）上午10:00～11:30，邀請兩家日本企業蒞校與同學進行交流，歡迎對 資訊科技、AI、大數據分析、日本企業及海外職涯發展 有興趣的同學踴躍參加！
📅 活動時間
115年9月11日（五）10:00～11:30
📍 活動地點：外雙溪校區哲生樓H312
🏢 本次交流企業
① 株式会社コミューナ（Communa Inc.）
主要提供企業系統開發、雲端服務、AI及DX（數位轉型）等資訊服務。
② データコム株式会社（Datacom Inc.）
主要零售數據分析、BI、AI分析等大數據相關服務。
💡 活動內容
1.日本企業與實際業務介紹
2.企業徵才及人才需求說明
3.日本企業工作環境與職涯發展分享
4.學生與企業代表面對面Q&A交流時間
活動當天將有 翻譯人員隨行協助，同學可以輕鬆與日本企業代表進行交流。
這是一個難得的國際交流機會！無論你未來想從事 AI、資料分析、BI、大數據、軟體開發、雲端服務，或是對 赴日工作與海外職涯發展 有興趣，都非常適合參加。
歡迎資科系老師與同學踴躍報名參與，把握與日本企業直接交流的難得機會！
報名連結
https://forms.gle/udGa1Bh5f6jTb2LR9
#東吳大學 #巨資學院 #資料科學系 #職涯發展 #徵才",https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.82787-15/787097267_17978061561084121_3205785692025473867_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk3MjEwMTA0NjYzNDM0NTQ2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=geZ52fnd04QQ7kNvwEXp7Jh&_nc_oc=Adrnt2JKkNf8LeRKa8FeJdM9CP2jCMMgzLepZS8lBYzl5hKjuNoSgT1atL_NPcObcBY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-1.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQKyUgUit3ImSEQkInr3yV7xK2ynMhyHxIS93h4POeMdfg&oe=6AAE8DA2,東吳資科_IG圖片/009_DcfvNtYmPP6_1.jpg
10,https://www.instagram.com/p/DcdENiYx6Ob/,2026-08-25 15:09:22,1,"歡迎雲林地區高中約 25位師生蒞臨東吳大學資料科學系，展開 AI 學習之旅！

本次營隊帶領同學認識生成式 AI ，搭配凱比機器人與自走車實作，最後在課程中通過測驗可取得NVIDIA DLI證書！✨

#東吳大學 #巨資學院 #資料科學系  # NVIDIADLI",https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.82787-15/784198289_17978073852084121_3703404861296030798_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzk3MTM0ODk2ODg3Mjg0NjIzNTE3OTc4MDczODQ5MDg0MTIx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjU0MC5zZHIudmlkZW9fdXNlcl91cGxvYWRlZF90aHVtYm5haWwuQzMifQ%3D%3D&_nc_ohc=hf1kTnp-5dAQ7kNvwFHRDwg&_nc_oc=Adq6f4nemfU4CWn3T6jWw36eocfBdcdNcBtYFrV-Eb8Ax0pUlGtGF83lXoJr9DvKmgs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe8-3.fna&_nc_gid=2PtDSVZaCVUei8j0WI8h9A&_nc_ss=7a22e&oh=00_AQIn6_49_70g2V_q6DQ0Gwrvixq0f9ejyY_02ZtUxKduRw&oe=6AAE9C3F,東吳資科_IG圖片/010_DcdENiYx6Ob_1.jpg
