id,source,text
72,visible:span[dir='auto'],"面試完一間了～（還有兩間
東吳的教授人好好喔！ 進去之後：教授你好，我是某某某
🧑‍🏫：請坐，請用兩分鐘自我介紹一下
我：（笑）不用懷疑我真的笑出來
🧑‍🏫：有什麼好笑的？
我：我沒準備自我介紹
🧑‍🏫：好沒關係，其實自我介紹就是….（開始引導我怎麼自我介紹
超感動的😍"
73,visible:span[dir='auto'],"想問一下如果要特殊選材
以政治系來說最好的就是東吳了嗎？"
74,visible:span[dir='auto'],最近開學脆一直給我看正妹但點進去都是輔大的是怎樣啦！拜託來東吳的 東吳大學
76,visible:span[dir='auto'],時間到了又要開始東吳高職了
77,visible:span[dir='auto'],學長你好請問東吳好混嗎
78,visible:span[dir='auto'],東吳人你們平常沒課在台北都在幹嘛。
79,visible:span[dir='auto'],其說現在想想，東吳在戒嚴時代開設日文系也是挺妙的，畢竟東吳大學是某種程度上是衛理公會的學校，然後衛理公會是蔣宋美齡的母會⋯⋯。
81,visible:span[dir='auto'],期末考要考東吳政治招生SWOT 但是我真的想不到敝系有什麼弱點可以寫欸
82,visible:span[dir='auto'],"想問問有沒有東吳哲學系的長姊～
我考上了東吳哲學要去當下一節新生
想要了解平常哲學上課大概是什麼樣的模式 還有課堂中會有什麼樣的活動或是報告之類的！
因為科系介紹比較少說到這些 大部分都在講雙主輔😭
還有想請問有沒有什麼課比較有趣一點或是比較甜可以修 謝謝🙇🏻‍♀️🙇🏻‍♀️"
83,visible:span[dir='auto'],"放棄東吳資料了
覺得自己的人格特質還是比較適合讀資工
就算是學店資工我也沒差"
84,visible:span[dir='auto'],"東吳資科比較好!畢業後也是可以考資工所
或是AI大數據所"
88,visible:span[dir='auto'],"我正在思考要不要先填東吳商學院，再拼轉系或雙主修法律，但轉系要考英文...雙主修系排要很高，輔大看起來要雙法律比較容易（？
但我很多老師推東吳，不管是校風、環境、上榜率等等，而且法商學院的校區在中正，要去買東西什麼的也方便很多
我現在也只有東吳跟輔大可以選了，北大光是英文就一堆不能填"
90,visible:span[dir='auto'],"為什麼我同學填輔大東吳私立的他們面試這麼緊張啊
一直擔心沒辦法錄取
是招生名額很多的系
明明備取備到超後面也還可以上餒？"
92,visible:span[dir='auto'],你們知道東吳是台灣第一所私立大學嗎🤔
94,visible:span[dir='auto'],"只要30秒，讓你輕鬆抵達巨資學院資料科學系❗️
巨資小編今天介紹「校內動線1」，由校門口進來後走臨溪路接敬熙路，就可以抵達哲生樓，我們系在3樓。
看完請記得按按讚，簡單又輕鬆😚
再~也不用擔心在東吳迷路找不到「哲生樓」囉。
巨資小編是你最貼心的GPS 💁‍♀️"
96,visible:span[dir='auto'],"到底要選輔仁還是東吳…
雖然論分數好像都不怎麼樣
輔仁好處在於真的很方便 非常方便
學校本身也不錯
東吳根本遠的要命的王國 如果選東吳得考慮租房子又是一筆大開銷 只是輔導老師跟我說社工的東吳口碑好像比輔仁好 東吳還有卡研 只是真的很遠
住宿我能接受 但錢包好像有點難接受"
97,visible:span[dir='auto'],身為東吳歷史系的新生有什麼需要注意的嗎🧐
99,visible:span[dir='auto'],東吳和輔大日文要怎麼抉擇？
103,visible:span[dir='auto'],啊統計與資料科學指引不是說1到2分鐘的自我介紹嗎 進去直接30秒😭 生無可戀 隨便講了
106,visible:span[dir='auto'],"幹東吳是只有法律和會計嗎
不在城中校區根本就偏鄉。
有學長姐可以分享真實生活水準嗎
連捷運都沒有我要怎辦。
1
/
2"
107,visible:span[dir='auto'],東吳大學城中校區
108,visible:span[dir='auto'],不愛校的請滑走，我錄取的學校是城中東吳大學，我最喜歡的動物是貓，我最喜歡的飲料是超商（沒有飲料店），我最喜歡的湖是內湖（沒有湖），我最喜歡的音樂祭是YouTube music（沒有音樂祭），我最喜歡的圖書館是地閱，我最喜歡的道路是貴陽街，我最喜歡的學院是五大，我最喜歡的休憩地是地閱（沒有休憩地），我最喜歡的餐廳是六大超商（沒有好吃的學餐），我最喜歡的歌是東吳校歌，最喜歡的英文是SCU，最喜歡的交通工具是板南線！我最喜歡的校園活動是地閱讀高等微積分，我最喜歡的校長是東吳校長（根本不知道），我錄取的科系是財精系
109,visible:span[dir='auto'],新來的東吳的學弟妹集合！🔥🔥
112,visible:span[dir='auto'],好多朋友東吳跟輔仁都選輔仁 哭了都
113,visible:span[dir='auto'],有東吳社會學的學長姐嗎。我好想知道都在學什麼 還有環境跟系上都是怎樣的
114,visible:span[dir='auto'],"第一次來東吳大學 這裡好漂亮
而且學校裡面有麥當勞 氛圍有點像中原大學"
117,visible:span[dir='auto'],"嘖 東吳樓梯都比帥哥多 東吳大學
1
/
2"
118,visible:span[dir='auto'],輔大和東吳，你想進哪一間？
119,visible:span[dir='auto'],有東吳資管的同學嗎！身為東吳的新生有什麼需要注意的嗎
121,visible:span[dir='auto'],東吳數學系正取，還蠻開心的，但是聽到要八個人幾一間宿舍這是真的嗎？有人可以分享嗎？
122,visible:span[dir='auto'],"機會渺茫 但還是很想上法律系啊😭
東吳還有機會嗎"
124,visible:span[dir='auto'],"繁星上東吳政治！我也是準大學生了好耶！有沒有人也上東吳政治的？可以來認識一下交個朋友！！！
1
/
2"
126,visible:span[dir='auto'],"東吳德文在我心裡的志願慢慢上升了（喔喔）
1
/
2"
128,visible:span[dir='auto'],東吳有新生群可以加嗎
130,visible:span[dir='auto'],"我的東吳錄取通知書呢。
1
/
2"
132,visible:span[dir='auto'],"東吳企管跟輔大國際溝通與科技創新學位學程在猶豫
前者雖說學的廣而不精但正適合現在還沒有明確方向的我讓我有機會先摸索各大管理學的東西而且成立較久畢業生較多老師說未來出社會人脈很重要
後者成立不久畢業生的樣本數不多但能擇一外語學習結合校內各大選修的性質跟我選擇企管的目的相似
再一個猶豫的點我感覺會比較喜歡輔仁的校園生活但是東吳企管感覺比較有保障
希望學長姐能給我一些建議🙏🥺"
133,visible:span[dir='auto'],"好煩喔
想考法律系的人應該都知道東吳法是真的很強
但家人就一直說什麼要我去中字輩法律
說國立的一定比私立的好
我一直努力說服他們東吳法真的很強了
雖然比不上台大政大
雖然是私立但就是強啊
我真的就想要東吳法啦
他們死都不讓我讀
我真的跟他們吵架吵到哭出來"
135,visible:span[dir='auto'],東吳日文跟輔大日文 該選哪個🙏
137,visible:span[dir='auto'],"律師有看錯一個小東西了
應該是寫資科碩士
敝校確實有個資料科學系"
138,visible:span[dir='auto'],請問北市大怎麼樣跟私立東吳輔仁比誰好😭😭
139,visible:span[dir='auto'],東吳輔仁淡江歷史系分數要多少才穩啊⋯
140,visible:span[dir='auto'],"唉我真的很想認識東吳企管的吧⋯⋯
新生群都很少看到企管的出來講話
我們也沒有系群組😱"
141,visible:span[dir='auto'],"還私校前段班勒真的太失望了
東吳
1
/
2"
143,visible:span[dir='auto'],"還是想去東吳😭
1
/
2"
145,visible:span[dir='auto'],"要上東吳餐飲可不可以認識幾個人
怕去學校尷尬"
146,visible:span[dir='auto'],"東吳還是有救的（拭淚）
1
/
2"
147,visible:span[dir='auto'],"個申一階全上東吳
想問學長姊東吳的校風如何😖😖
因為本人比較純樸、晚上從來沒去過信義區⋯⋯⋯ 希望大學不要有太多愛玩的朋友😭👉👈"
149,visible:span[dir='auto'],"這樣看得出來我是什麼系的嗎😃
東吳你不想讓我畢業就說 真的"
150,visible:span[dir='auto'],"想問如果成績在高雄大學 東吳商科 附近
逢甲 中原 高雄 東吳 輔仁
一類商科哪一個比較好啊啊啊啊
求解 焦慮死了
1
/
2"
153,visible:span[dir='auto'],"東吳有新生群嗎
繁星上東吳英文了 耶比"
156,visible:span[dir='auto'],東吳大學的網路已經爛到連限動都跑不出來了
157,visible:span[dir='auto'],東吳英文 輔大義大利 輔大教育領導與科技發展 輔大織品服設 輔大景觀設計。有同學嗎～^^
158,visible:span[dir='auto'],東吳政治面起來很輕鬆的感覺耶耶耶 比我想像中的好 而且蠻多聊天的部分
159,visible:span[dir='auto'],"睡太晚了
起床直接看到錄取東吳大學
有人也是東吳的嗎？想要找同學😻"
163,visible:span[dir='auto'],廣大的脆友要選東吳法還是中興法，可以給一些建議嗎🙏🙏
164,visible:span[dir='auto'],"資料科學碩士學位學程認列課程
機器學習A+
生成式人工智慧安全A+
分散式機器學習A+
數位、人工智慧與新興運算架構A+
雲原生程式設計開發A+
數理統計一 A+
深度學習與應用A+
高效能巨量資料與人工智慧系統 A
電腦視覺實務與深度學習 B+😠😠😠😠😠😠😠😠
別再説管院讀不了電資了😠"
167,visible:span[dir='auto'],"愛東吳大學🫶
大二又是幾乎五天早八☺️
1
/
2"
169,visible:span[dir='auto'],"尋找繁星也上東吳社工的同學
其他也是東吳的也可以認識！"
170,visible:span[dir='auto'],"女兒同時上東吳政治與東吳英文怎麼選啊？
1
/
2"
