id,source,text
34,visible:span[dir='auto'],"莫名其妙正取資管系
但是我本身是0程式設計方面的基礎
數學還有英文也很爛 這樣唸資管會太硬嗎🙏"
35,visible:span[dir='auto'],"如果你們不想要系會時間擋在那裡
歡迎來到東吳資料科學系（？）
選課排課無負擔"
36,visible:span[dir='auto'],生成一張典型的電機系學生照片，不要美化，真實長相反應，越寫實越好，三到四人
37,visible:span[dir='auto'],"資工系三大雷點
1. 程式碼裡有中文
2. 使用淺色模式
3. 欸幫我修電腦"
38,visible:span[dir='auto'],"東吳和輔大到底哪個比較好？
我個人感覺東吳比較有名吧？
為什麼輔大分數這麼高？"
39,visible:span[dir='auto'],"國北你敢不敢收我
清華你敢不敢收我
市北你敢不敢收我
台藝你敢不敢收我
輔仁你敢不敢收我
東吳你敢不敢收我
東海你敢不敢收我
中山你敢不敢收我
高師你敢不敢收我
1
/
2"
40,visible:span[dir='auto'],現在資料科學家大概工作都是做什麼呀？去年去面資料科學，一堆要弄容器 資料分析 數據訓練 部署 規劃，但好像不同的產業要的資料科學差異很大
41,visible:span[dir='auto'],"讀什麼系都會被AI取代
那只好去讀資管 當它的主管"
42,visible:span[dir='auto'],"放棄東吳資料了
覺得自己的人格特質還是比較適合讀資工
就算是學店資工我也沒差"
43,visible:span[dir='auto'],"東吳資科比較好!畢業後也是可以考資工所
或是AI大數據所"
44,visible:span[dir='auto'],"No.5 物理治療系
No.4 電機系
No.3 牙醫系
No.2 電機系
No.1 …
1
/
2"
45,visible:span[dir='auto'],"資管系到底算文組還理組
每次跟別人介紹都說是理組
然後就要解釋其實在商學院
但還是要念研究所
然後再問跟資工有什麼不一樣
再解釋一番
再問說為什麼不念資工
再解釋一遍"
46,visible:span[dir='auto'],工業工程管理系到底是什麼？？？
47,visible:span[dir='auto'],"東吳大學115年科系人數排行：
法律學系 1,204
會計學系 965
企業管理學系 941
日本語文學系 827
經濟學系 755
英文學系 724
財務工程與精算數學系 707
中國文學系 680
國際經營與貿易學系 531
社會工作學系 528
資訊管理學系 518
政治學系 507
社會學系 487
資料科學系 403
心理學系 288
1
/
2"
48,visible:span[dir='auto'],"蛤 東吳跟輔仁是輔仁比較推喔
😭😭😭❓
1
/
2"
49,visible:span[dir='auto'],輔大和東吳，你想進哪一間？
50,visible:span[dir='auto'],"【科系排名】
醫學: 從從容容
牙醫: 遊刃有餘
電機: 匆匆忙忙
資工: 連滾帶爬
法律: 睜眼說瞎話
物理: 哽咽什麼
數學: 哭什麼哭
企管: 沒出息
1
/
2"
51,visible:span[dir='auto'],"超扯超扯超扯 笭菁欸
我大東吳還是太厲害了"
52,visible:span[dir='auto'],"蓋個東吳樓，有誰也是東吳的
（真好奇誰會跟我同班，底下留言自己的科系與班級）
1
/
2"
53,visible:span[dir='auto'],"欸幹面試大學有麥當當
1
/
2"
54,visible:span[dir='auto'],冷知識：從文化大學只要騎車1分鐘就可以到東吳，再騎10分鐘就可以到政大。
55,visible:span[dir='auto'],"認真想問 讀心理系好嗎 會有出路嗎👀
1
/
2"
56,visible:span[dir='auto'],"我上東吳大學了
42%出奇蹟😭😭😭😭
謝謝大家謝謝神明
我愛大家
我是東吳的學生了
被審資料再見啦😭😭😭😭😭😭
1
/
2"
57,visible:span[dir='auto'],"這樣看得出來我是什麼系的嗎😃
東吳你不想讓我畢業就說 真的"
58,visible:span[dir='auto'],東吳人你們平常沒課在台北都在幹嘛。
59,visible:span[dir='auto'],"天啊感覺好難🤯
第一次知道
資工系要學什麼離散數學、微積分、線性代數…..
薪水最高才7萬@@
這麼難的東西薪水應該更高吧？
1
/
2"
60,visible:span[dir='auto'],"如果可以自由選 讓你再選一次
-
-
-
-
-
你大學會想要讀什麼系？跟現在的你還一樣嗎？"
61,visible:span[dir='auto'],"想問問一看👀
淡江
輔仁
東吳
哪一間的經濟學系比較好"
62,visible:span[dir='auto'],"剛剛去面試
教授問我對系上的課程或活動有沒有特別有興趣的
我回答他：系排
他們猶豫了一下說：我們很久沒有系排了
我跟他們說：網站上面有欸那你們可能要再改一下
全台不吃壓力第一人
1
/
2"
63,visible:span[dir='auto'],"高中生最愛私立大學科系：
輔仁大學 - 心理學系
東吳大學 - 法律學系
中國醫藥 - 藥學系
世新大學 - 廣播電視電影學系
臺北醫學 - 藥學系
中國醫藥 - 中醫學系
輔仁大學 - 應用美術學系
實踐大學 - 服裝設計學系
輔仁大學 - 法律學系
長庚科技 - 護理系
世新大學 - 傳播管理學系
輔仁大學 - 織品服裝學系
中原大學 - 室內設計學系
世新大學 - 社會心理學系
世新大學 - 數位多媒體設計學系
1
/
2"
64,visible:span[dir='auto'],"東吳 你不是私立嗎 好了就好了
太超標了 高6級分 什麼意思💀💀💀
1
/
2"
65,visible:span[dir='auto'],到底生物科學系和生命科學系是同一個東西嗎？我真的很怕我查錯資料
66,visible:span[dir='auto'],"讀書 學測 台大 清大 成大 交大
面試 政大 中正 中興 中山 讀書
分科 數學 學習歷程 個人申請
繁星 學歷 校系 建築 法律 讀書
文組 國文 英文 公民 歷史 讀書
理組 電機 資工 機械 化工 土木
資工 資管 醫學 企管 財金 會計
經濟 中文 外文 歷史 哲學 心理
地理 化學 物理 生物 地科 傳播
🏋‍♂️（全體高三牲） （再39天）🏋‍♀️"
67,visible:span[dir='auto'],"東吳經濟
東吳財務工程與精算數學系
輔仁統資
要怎麼選啊啊啊😭
有沒有學長姐能給建議或優缺點"
68,visible:span[dir='auto'],"輔大會計好嗎？
我沒上北大和東吳就填輔大了
海大不知道在哪個等級"
69,visible:span[dir='auto'],"面試完一間了～（還有兩間
東吳的教授人好好喔！ 進去之後：教授你好，我是某某某
🧑‍🏫：請坐，請用兩分鐘自我介紹一下
我：（笑）不用懷疑我真的笑出來
🧑‍🏫：有什麼好笑的？
我：我沒準備自我介紹
🧑‍🏫：好沒關係，其實自我介紹就是….（開始引導我怎麼自我介紹
超感動的😍"
70,visible:span[dir='auto'],"有輔大資工系的嗎？
會寫 Python 語言的 寫 交易程式
有薪水～～
1
/
2"
71,visible:span[dir='auto'],"想問問資工跟資管到底差在哪裡
還有兩科系未來的出路🤔"
72,visible:span[dir='auto'],"過了兩個禮拜我才有勇氣把性騷擾的事情講出來
去提申訴性平，去檢舉任課老師
真的是哭完才來討論這些事情
越想越覺得可惡
幸好目前知道的同學很明顯都站在我這邊
如果沒辦法站在我這邊我們也不會是朋友了😇
我也沒有想要跟系上同學隱藏加害者是誰了，他敢做還不敢當嗎？
1
/
2"
73,visible:span[dir='auto'],你們知道東吳是台灣第一所私立大學嗎🤔
74,visible:span[dir='auto'],東吳大學人文社會學院
75,visible:span[dir='auto'],"不太知道大學到底經歷了什麼？
1
/
2"
76,visible:span[dir='auto'],"如果我想讀心理系你們會勸退嗎
1
/
2"
77,visible:span[dir='auto'],"幹東吳是只有法律和會計嗎
不在城中校區根本就偏鄉。
有學長姐可以分享真實生活水準嗎
連捷運都沒有我要怎辦。
1
/
2"
78,visible:span[dir='auto'],"說我考上東吳大學很優秀已經很尷尬了，為什麼還要問我什麼系...
1
/
2"
79,visible:span[dir='auto'],"聽說今天學測正是分發！
￼
一起曬出你的分發簡訊
歡迎大家來東吳大學
下收新生社群！
1
/
2"
80,visible:span[dir='auto'],我們系上聽說有人輕生了，好扯🥲
81,visible:span[dir='auto'],"機會渺茫 但還是很想上法律系啊😭
東吳還有機會嗎"
82,visible:span[dir='auto'],我放棄東吳你祝福我上北大好不好
83,visible:span[dir='auto'],"成大：歷史系
宜蘭：奶凍捲大學
淡江：下雨大學
東海：免費清潔工
臺北大學：不是臺北的大學
世新：記者
輔仁：美女
屏科大：賣牛奶跟醬油的學校
屏東大學：喔喔我知道啦！屏科大嘛！
東華：震央大學
真理：真理褲大學
北藝大：長髮男
台科大：NTU reSTaurant
長庚：樓梯
中國醫：張鮭魚之夢
清大：愛莉莎莎
彰師：霸社
1
/
2"
84,visible:span[dir='auto'],"我的東吳錄取通知書呢。
1
/
2"
85,visible:span[dir='auto'],"脆上看到好多上東吳的
有東吳二類的同溫層嗎🥹🥹"
86,visible:span[dir='auto'],"東吳大學你夠了。
1
/
2"
87,visible:span[dir='auto'],"東吳獨眼龍這學期修到一堆水課
1
/
2"
88,visible:span[dir='auto'],"第一次來這個大學
很小，超小的。"
89,visible:span[dir='auto'],"面試：貴校、貴系
進入大學後：破學校、塊陶"
90,visible:span[dir='auto'],"💻 資工系：鬧鐘響10次還在睡，醒來先打開程式不是課本。
🎨 設計系：人沒醒但靈感來了，結果上課畫到下課。
💊 護理系：7:30就坐好，連筆芯都準備三支。
⚖️ 法律系：遲到還能辯論：「老師也常遲到啊」。
💅 傳播系：就算遲到也要先抓頭髮、套濾鏡、拍限時。
📚 中文系：人來了但靈魂還在夢裡背唐詩。
📊 經濟系：坐下第一句：「那個期中平均多少啊？」
🧠 心理系：一邊打哈欠、一邊觀察大家的表情變化。
💼 企管系：開課五分鐘就成立共筆群組。
🧪 化學系：人是醒的，腦子還卡在昨晚的實驗式。
🎭 戲劇系：上課遲到但進門氣場滿分，像在登台。
🌿 園藝系：書包裡除了筆記本還帶著一盆植物。
📷 影視系：拍自己走進教室的那一刻當vlog素材。
🧬 生科系：邊喝咖啡邊講昨晚的實驗結果。
📐 建築系：通宵完直接來上課，帶著模型跟宿醉。
💪 體育系：早八課？人家六點就在操場熱身了。
📖 歷史系：老師講現代史，他心裡在想「那其實要看背景脈絡」。
🪴 環工系：看起來在打瞌睡，其實在省電模式運作中。
⚙️ 機械系：精神恍惚到連板手都想拿出來修自己。
1
/
2"
91,visible:span[dir='auto'],"網路上一直在討論東吳大學要合併台大
我的理想是 東吳+政大+國北教 三間合併
這樣就可以叫「東政教大學」
校長還叫「乾隆」多麼氣派啊😎
1
/
2"
92,visible:span[dir='auto'],認真問台大社會學系畢業可以幹嘛
93,visible:span[dir='auto'],"水系大學：輔大
風系大學：文化
火系大學：銘傳
1
/
2"
94,visible:span[dir='auto'],"我和東吳教授聊到一堆有的沒的
我說希望可以看到東吳的藍鵲
教授和我說他被東吳藍鵲巴頭過
1
/
2"
95,visible:span[dir='auto'],"要為了校名去政大還是為了科系去東吳啊…
1
/
2"
96,visible:span[dir='auto'],"想請問北大法跟他東吳法應該選哪一個呢
不考慮排名和學費的話"
97,visible:span[dir='auto'],"我是東吳大一新生，最近看到學校在宣傳東吳超馬報名還有招募志工，好像有點好玩，不曉得有沒有參加過的學長姐可以分享一下經驗୧( ""̮ )୨✧︎"
98,visible:span[dir='auto'],我猜想，今年大學申請資工系，面試評審喜歡問的一個問題：AI寫程式的能力已經很強，很多人說AI會取代軟體工程師，你的看法如何？你對進入資工系未來的期待是什麼？
99,visible:span[dir='auto'],"優秀如我大東吳 上課沒位置坐 唯一的位置被佔位
重點我還不是加簽😃
1
/
2"
100,visible:span[dir='auto'],"航太系真的只有四種人在讀
1.天才
2.對航太非常有熱忱的人
3.家裡有錢只是來體驗人生的人
4.發現自己選錯系的人"
101,visible:span[dir='auto'],"幹幹幹東吳輔仁誰愛去誰去
先放榜把我排那麼後面害我以為北大我不會過
結果北大正取啦哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1
/
2"
102,visible:span[dir='auto'],"1.校風壓抑，個人覺得風水不好，心情變很糟
2.校內公車557班次少，時間都在等公車中消耗
3.校內行政腐敗，學生意見學校聽不見，各處室互相踢皮球
4.如果有考慮先進來再轉系的同學，115學年度的轉系資格大幅減少，（轉系資格上寫說收15人，最後只錄取3人）
❗️可參考這篇Dcard❗️
dcard.tw/f/scu…"
103,visible:span[dir='auto'],有東吳資管的同學嗎！身為東吳的新生有什麼需要注意的嗎
104,visible:span[dir='auto'],"東吳大學
翻到大學時候（大概2019）
學校掛的布條，太猛了😱"
105,visible:span[dir='auto'],"輔仁大學115年科系人數排行：
織品服裝學系 1,020
體育學系 800
企業管理學系 764
法律學系 629
金融與國際企業 530
日本語文學系 520
資訊工程學系 519
電機工程學系 510
經濟學系 477
統計資訊學系 476
化學系 473
資訊管理學系 470
中國文學系 465
餐旅管理學系 465
會計學系 462
1
/
2"
106,visible:span[dir='auto'],"大學選資管還是資工系？
1
/
2"
107,visible:span[dir='auto'],"歡迎各位高中生報考東吳大學
東吳大學絕對是你最佳的選擇！
1
/
2"
108,visible:span[dir='auto'],"剛剛搭Uber去醫院複診
是一位大叔吧
問我讀哪間大學
我說東吳
他就震驚 下一句問我什麼系
我回企管系
他就語氣超可惜的那種（臉也看得出是
就跟我說有機會就轉系吧
我？？？？？
還說讀一些對未來沒用的系就是浪費時間+錢
⋯
但後面又跟我說他姪子讀東吳音樂系
就一直狂說他姪子多厲害 東吳音樂系多厲害
我：喔～這麼厲害喔～那真的蠻厲害欸～
乾 東吳企管真的很爛嗎？
雖然我一直靠北東吳是爛大學😗
但我畢竟認真爬文爬幾天
選的企管系 選的東吳欸(;´༎ຶД༎ຶ`)
不用踩得一文不值吧(;´༎ຶД༎ຶ`)"
109,visible:span[dir='auto'],"想問一下如果要特殊選材
以政治系來說最好的就是東吳了嗎？"
110,visible:span[dir='auto'],東吳和輔大日文要怎麼抉擇？
